Date,Time,Device Number,Hotel Guest?,AP?,On Property?,Which resort?,Meal Plan?,# Trips,Within past 5 years,Country of Residence,People in group,Relationship,Person 1 gender,person 1 age,person 2 gender,person 2 age,person 3 gender,person 3 age,person 4 gender,person 4 age,person 5 gender,person 5 age,Thrill Rides,Non-Thrill Rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall Atmosphere,Plan for the day?,Dining reservations?,Must See attractions?,List,"Wait for ""must see""",Wait for others,
4/26/2011,9:45:00,185,,N,Y,Davy Crockett,Y,'2-4,N,France,2,FAmily,M,37,F,8,,,,,,,Thrill rides,,,,Meeting characters,,Definitely,N,Y,Toy Story Playland,60,45,
4/26/2011,10:00:00,186,,N,Y,Sequoia,,1,,Netherland,6,FAmily,M,63,F,50,M,39,F,38,M,10,Thrill rides,Non-thrill rides,Indoor shows,,,,Somewhat,Y,,,,,
4/26/2011,9:48:00,190,,N,Y,Newport,Y,1,,France,4,FAmily,F,,M,,M,,M,,,,Thrill rides,,Indoor shows,Parades and fireworks,Meeting characters,,Not really,Y,Y,Space Mountain,40,40,
4/26/2011,10:10:00,192,,N,N,,,1,,France,5,Friends,F,4,M,38,M,11,M,12,,,,,,Parades and fireworks,,Overall atmosphere,None,N,Y,Fantasyland,,15,
4/26/2011,9:42:00,193,,N,Y,Santa Fe,N,'2-4,N,France,4,FAmily,M,44,F,43,F,19,M,15,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Space Mountain,15,30,
4/26/2011,9:49:00,194,,N,Y,Cheyenne,Y,1,,France,4,Family,F,7,F,5,F,29,M,30,,,,,,Parades and fireworks,Meeting characters,,Somewhat,N,,,,,
4/26/2011,10:00:00,196,,N,Y,New York,Y,'2-4,Y,Belgium,4,Family,F,,M,,M,,F,,,,,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,Y,N,,,30,
4/26/2011,10:45:00,198,,N,N,,,5+,Y,Germany,4,Family,F,,M,,F,,M,,,,,,,,,,,,,,,,
4/26/2011,10:00:00,202,,N,N,,,1,,France,3,Family,F,64,M,62,M,11,,,,,,Non-thrill rides,,,,Overall atmosphere,None,N,Y,Tower of Terror,15,15,
4/26/2011,10:00:00,203,,N,Y,Santa Fe,N,'2-4,N,UK,5,Family,M,51,F,50,F,25,F,21,F,7,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Armageddon,60,30,
4/26/2011,10:00:00,204,,N,N,,,5+,Y,France,4,Family,F,38,M,41,M,11,M,5,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Nemo,15,15,
4/26/2011,9:45:00,205,,N,N,,,5+,Y,France,4,Family,F,22,F,18,F,10,F,10,,,Thrill rides,,,,,,Not really,N,,,,,
4/26/2011,9:30:00,208,,N,Y,Sequoia,N,'2-4,,UK,4,Family,F,36,M,39,F,5,F,6,,,,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Toy Story,40,20,
